conhecimento	escola
exaustivo	extenuador
consolidação	corporificação
acrescentar	temperar
pestanejar	piscar
abotoar	surgir
assobio	silvo
atravancar	congestionar
desfear	deturpar
acalmamento	mitigação
apedrejar	xingar
apavonar-se	endeusar-se
caturrar	encasquetar-se
surrar	zurzir
missionário	padre
retrasar	retrogradar
bastida	estacada
exacerbar	exasperar
atemorizar	intimidar
extasiado	pasmo
quietar	serenar
desenxavido	dessaboroso
chulice	grosseria
capitalizar	poupar
quebra-luz	refletidor
destrambelho	doidaria
retalhação	sulcagem
desfrutar	motejar
acondicionar	justar
boiante	flutuador
encrudelecer-se	envinagrar-se
ladeira	repiquete
aterrar-se	estremecer-se
caranguejola	casca-de-noz
desvariar	esmaniar
malgastar	prodigar
convir	dar-se
completar	fazer
antes-tempo	antetempo
embaído	engazopado
devoluto	inabitado
prestação	prestamento
depósito	represa
escalavradura	escoriação
agonia	decadência
hermético	intrincado
tratamento	trato
sarjão	sarjel
cariz	celagem
explanativo	explanatório
desaconchegar	vastar
assentar	pressupor
emplumar-se	engalar-se
fantástico	incomparável
deslealdoso	leonino
cambar	dar
devotar-se	votar-se
odorante	perfumado
exaltar	vulcanizar
especificação	particularização
finca-pé	teimosia
retardador	retardante
alvorejar	curar
galhofear	pagodear
fragmentar-se	quebrar-se
constância	insistência
esfalfar	matar
libertador	redimidor
assustar	aterrorizar
dispor	estabelecer
combalir	estremecer
entreter-se	vadiar
amostrar-se	repontar
interceder	terçar
desaparelhar	enfear
desmaiar	esfalecer
calistismo	mofina
bedelhar	cavaquear
alteado	encimado
futuração	hipótese
indecisão	perplexão
denegrir-se	entrevecer-se
afogar-se	melar-se
encarregar	recomendar
afixar	prender
funcionar	trabalhar
determinar	ser
honorários	salário
desentesar	lassear
rodomoinho	voragem
adornar	formosentar
valentão	vaníloquo
haraganear	madraçar
conjecturar	surpresar
apontoar	estear
bestializar-se	embrutecer-se
arborização	arvoragem
apressadamente	rapidamente
bochornoso	sufocante
amelindrar-se	irritar-se
engessar	gessar
rapinhar	tirar
amparo	asilo
pujante	vigoroso
borriço	molinheiro
revel	teimoso
despótico	opressor
coerência	nexo
mudar	transubstanciar
amover	despojar
desencamisar	escamisar
bacia	braseiro
concertar	consonar
arribar	recobrar
entreouvir	sentir
chapa	tabla
vinhago	vinhal
depredar	nivelar
cifra	enigma
agigantado	escomunal
infeliz	queixoso
envolto	revolto
anotar	titular
convincente	eloqüente
assetear	mortificar
detratar	difamar
enrolar	velhacar
gravame	vínculo
dividir-se	partir-se
emascular	enfraquecer
calmar	contentar
autógeno	endógeno
comover-se	desarmar-se
abrir	elucidar
acanhado	covarde
empestado	pestilento
descortês	mal-educado
alimpar	depurar
decriptar	descodificar
estropiar	tronchar
desdoirar	detratar
ditar	ordenar
conchegar-se	unir-se
adulterar-se	perverter-se
guerrear	oprimir
jaruru	macambúzio
cheirante	odoroso
munir	sortir
ajoujar	sobrecarregar
alinhavar	coser
picuetada	pulha
absonar	desatremar
agradecer	gratular
chamuscadura	sapeca
aturar	comportar
entupir-se	fechar-se
abajur	lucivelo
mistifório	mixórdia
amodelar	contornar
esmurraçar	esmurregar
hesitar	titubear
apaulistanizar	apaulistar
modernizar	renovar
habitual	usual
distinguir	honorificar
tartamelar	tremelear
índice	tabela
mandar	traçar
afervorar	despertar
cabeladura	encabeladura
fincar-se	obstinar-se
esconder	guardar
desfeminizar	masculinizar
eliminação	exclusão
aba	beirada
embaçar	engabelar
erodir	rafar
serial	serirário
abaixante	aviltante
lantejoulante	lentejoilante
entristecer	ferir
cumprimenteiro	mesurado
agüentar	segurar
adormecer	atenuar
grânulo	grão
estricto	preciso
onda	turba
descarnar	emagrentar
encoscorar-se	refegar-se
morféico	morfético
flagelar	varar
angurriado	esuriente
anelar	desejar
adjunto	auxiliador
titubear	trepidar
corrido	excluído
mexer	saber
aferrar	aportar
albinia	albinismo
eixo	pivô
cercear	estreitar
corromper-se	putrefazer-se
arrebanhar-se	consociar-se
encoiraçar	encouraçar
arrumação	tessitura
competência	distrito
distanciado	espaçado
atarantação	salsada
cirro	estertor
palpação	tateamento
sensibilidade	subtileza
empavesar-se	envanecer-se
funesto	sinistro
peneirar	sururucar
brotar	propagar
agrupado	associado
desenraizar	desraigar
deslealmente	perfidamente
desvigorizar	exaurir
afoiteza	atrevimento
desanuviado	escampo
mira	objeto
curtir	expiar
ricochete	zombaria
erguer	formar
indocilidade	rispidez
alvo	objetivo
aprendizado	tirocínio
bagunçado	caótico
amolante	paulificante
manzanza	ocioso
chamboado	mal-apresentado
rábido	zangado
abundância	provimento
esganado	somítico
lívido	plúmbeo
derrocada	derruimento
andarengo	andeiro
brutal	desumano
contemplar	refletir
desbaratamento	esbanjamento
desenvolver-se	formar-se
pena	sofrimento
impertinente	inoportuno
pano	tecido
desapossamento	despimento
ostentoso	ufano
agregar	congregar
altear	arribar
abemolar	ceder
arvoar	desconcertar
arrochada	taca
admirável	excelente
degustação	prova
faustuoso	soberbo
abismo	báratro
mélico	sonoro
afobação	azáfama
ocorrer	passar-se
mané	toleirão
contorcer	quebrar
importunice	incômodo
petição	suplicação
achincalhe	ridiculização
porcentagem	teor
infestar	nivelar
adereçamento	decoração
enoiriçar	ouriçar
encangotar-se	escurecer
afagado	mimado
desordem	subversão
despolir	empanar
fúfio	ordinário
escamotear	unhar
nenho	tacanho
arrenegar	descrer
bandarrear	mariolar
desacoroçoado	desmoralizado
horrível	tremendo
empinar-se	engalar-se
embirrância	teimosice
formar-se	operar-se
profusão	superabundância
descarrilhado	desencarrilhado
sórdido	vil
apavorizar	aterrorizar
limpar-se	livrar-se
mentido	mentiroso
cair	desgrudar-se
embater-se	esbarrar-se
facalhão	facalhaz
escapar	escapar-se
antepor-se	repulsar
doação	oferta
abafar	calar
abalienado	delirante
coletor	receptor
inquirir	sondar
brutificar-se	descivilizar-se
decurso	volvido
tesoiro	tesouro
alvor	resplandecência
estroçar	monotonizar
chacota	remoque
escarninho	trocista
amplidão	vastidão
perseguidor	seguidor
rasar-se	tomar-se
combinar-se	concertar-se
hospedaria	pousada
ajoelhar-se	avassalar-se
felicidade	fortuna
estrangulamento	sufocação
arrevessar	lançar
apreensivo	preocupado
falado	insigne
acobertar-se	enroupar-se
entrosar	recompor
faustoso	soberbo
biografista	biógrafo
esvair-se	subtilizar-se
deslustrar-se	obscurecer-se
veludoso	velutíneo
amoroso	caroável
apertar	sotrancar
pudico	recatado
folha	jornal
molhar-se	orvalhar-se
enervação	lassidão
abismado	estupefato
interrogador	interrogante
figurar	retratar
ornar	tecer
pranto	vagido
desassisado	malsisudo
despeitar	encalistrar
acesso	comunicação
repreender	trautear
anarquia	babilônia
aliciar	mordicar
roaz	roedor
efetivação	implementação
sonífero	soporífero
enfezamento	ira
cuitê	porongo
intuir	ver
arrojar	sacudir
celebrização	imortalização
escravizar-se	submeter-se
ondulado	onduloso
gandaiar	vagamundear
embeber-se	empegar-se
alegação	argüição
pigmentar	tingir
coveiro	enterrador
desgaste	erosão
gelar-se	regelar-se
aerífero	aerófaro
enganar	pantominar
hábil	industrioso
dessumir	extrair
ciumento	zeloso
ensoberbar-se	inflar-se
caos	inferno
atracação	embate
riamba	tabanagira
aporretar	derrear
afincar-se	emperrar
bobinar	embobinar
comemorar	revisitar
declamação	recital
cálculo	computação
bobice	ébia
desvergonhamento	petulância
gelosia	rótula
diáfano	pelúcido
arranjar	restabelecer
ferrolhar	subjugar
debilitar	enfraquecer
marmelada	velhacaria
saltarilhar	saltarinhar
ensombrar	enturbar
agrumelar-se	coalhar-se
espécia	especiaria
postergação	procrastinação
desburrificar	desemburricar
asca	enojamento
peita	suborno
beberricar	pingolar
implicativo	implicatório
agastar-se	embravear-se
encobrir	silenciar
rabear	vanguejar
abluir-se	alimpar-se
apurpurado	purpurejante
armação	montagem
brilho	luzimento
açambarcar	atravessar
aleitamento	amamentação
mirar-se	olhar-se
engrunhido	malandro
sebe	tapume
decadência	derrocada
fastuoso	principesco
aplicação	uso
disturbar	estrompar
abobar	idiotar
ferir	vibrar
elegância	glamour
amadurecer-se	assazonar-se
caracolear	volutear
fraude	logro
chafurdar	enlodar
redomoinho	remoinho
fatal	inevitável
reacender	reanimar
acarar	afrontar
deturpar	infeccionar
chatear	destroçar
enxovalhamento	mácula
boiar	patetar
desmembrar	mutilar
encarochado	enfeitiçado
abluir	escorificar
esforçar-se	fazer
bonitete	bonitote
desvendar	expor
longitude	lonjura
entediante	soporífico
legítimo	verdadeiro
barbante	negalho
esmigalhadura	esmigalhamento
adjacência	arrebalde
boquiaberto	pasmado
inópia	pauperismo
atestar	fartar
judiar	magoar
atascal	lameiro
pipitar	taralhar
evasiva	salvatério
apupada	assoviada
trissar	zinzilular
magoar	maltratar
despertar	sacudir
aeração	arejo
rotina	vezo
declarado	ostensivo
botar-se	desembestar-se
bigorrilha	tracambista
aborcar	esvazar
inserido	inserto
ciciar	cochichar
ninar	rolar
incessante	incessável
transverter	trasladar
rolo	vagalhão
afluição	ondada
jactar-se	triunfar
apoquentado	atormentado
desarrugar-se	deslisar-se
encalmar	judiar
furiosidade	veemência
atenuado	langoroso
inclemente	severo
estabalhoado	estouvado
aproximação	encontro
afadigoso	estafante
escabritar	revoltar
prelada	prioresa
batério	beataria
mortinatalidade	natimortalidade
acúmen	fastígio
honra	pundonor
advento	chegada
produto	rebento
embeiçado	enrabichado
semáforo	sinal
exacerbado	irritado
gritada	tagarela
agadanhar	esfolar
fatigar	flagelar
áspero	irregular
carinhoso	doce
ressonadela	ronca
crédito	nome
alvoroto	estrondo
coibir	frear
discrepar	dividir
decepamento	estroncamento
naturalidade	origem
esperdiçador	manirroto
aforrar	cumular
arrepiamento	erriçamento
alíquota	percentualidade
pedacinho	tudo-nada
afuroado	escavado
acomodar-se	adequar-se
humildar-se	rebaixar-se
auspiciar	saber
desamabilidade	impolidez
entrar	vaziar
dealbar	purgar
abrandar-se	amortecer-se
útil	vantajoso
cautela	circunspeção
airoso	digno
altissonante	estriduloso
negócio	ocupação
encangotar	velar
facilitar-se	prestar-se
esfiar	narrar
afã	labuta
moderação	prudência
amanhado	esquipado
corcovar-se	envergar-se
adurir	incandescer
desquadrilhar	sovar
assassínio	morticínio
recalcitrar	repostar
porta-seios	sustenta-seios
dentar	dentear
escopo	mira
batina	samarra
aceder	acrescentar
humildação	rebaixamento
axioma	gnoma
delineamento	esqueleto
aturdir	enzonzar
levado	traquina
intrujar	velhaquear
escarnificar	setear
abafado	enfrenado
cauterizar	confranger
aguilhar	concitar
derrengue	rebolado
talante	vontade
desencerrar	desvelar
arfada	palpite
assombrado	sombroso
aduzir	presentar
elementar	primordial
derrancado	desgarrado
abalançar	estimular
acerbo	amaroso
engelhar-se	franzir-se
albicante	branquicento
desentonar	prostrar
escascar	escovar
goelar	vociferar
desabafar	favorecer
escornar	escornichar
esbravejar	expluir
amassar	marlotar
aliciante	aliciatório
assaltar	lembrar
deprecar	implorar
preluzir	relumar
tórax	torso
prestadio	prestante
guindar-se	subir
arrefecer-se	esfriar-se
luciluzir	raiar
afogadura	afogo
encerrar	enquadrar
nebulado	nuvioso
conceber	meditar
martírio	sofrimento
apresentar	propor
desentender-se	malquistar-se
claudicante	trêmulo
fazer	praticar
focinhada	trombada
manifestar	mencionar
afetação	soberba
degastador	estróina
afofar	envaidar
tufado	tumefeito
recolher	respigar
rota	tenção
dissecar	olhar
desajuizar	descerebrar
brandear	desencruar
chamar-se	qualificar-se
formolado	formolizado
zagalejo	zagalete
incongruente	inconveniente
cobrir-se	turvejar-se
foito	resoluto
extremado	supremo
indignar	marfar
agalinhar-se	estarrecer-se
ancorar	fundear
contraditado	desdito
certame	justa
enfurecer-se	remorder-se
amenizar	remitir
baquear	esfazer
contatar	tocar-se
enganchar	travar
pingar	pingotear
adoidar	endoidecer
difundir	publicar
empedernecer	emperrar
fulgurar	sobrelevar-se
bimbalhar	dar
atirar	disparar
cálido	calmo
culminância	cúmulo
árdego	arrojado
recompor	regenerar
descerimônia	irreverência
recrescer	restar
formidoloso	tétrico
agror	amargura
arreigar-se	inviscerar
canoura	tremonha
esvaziamento	vaziamento
desmiolar	girar
alçar-se	alevantar-se
embrulhada	tralhoada
abio	abiu
albergamento	albergaria
sabujo	samexuga
assegurar	segurar
comida	repasto
cafangar	galhofear
adversar	colidir
exaurir-se	gastar-se
atochar	atrapachar
amorcegar	mungir
intrujar-se	lograr-se
lavrar	rasourar
empinado	encabritado
bacelo	vide
petum	tabaco
frouxeza	moleza
cavalheirismo	galanice
descangotado	enfraquentado
disfarce	ilusão
resistência	subsistência
cravar	embutir
aligeirar	amenizar
contemptível	ignominioso
arte	safadice
infidelidade	rasteira
laxar	safar
capinador	carpidor
contrafeito	violentado
ajaular	aprear
brando	fagueiro
adotar	presentar
infância	meninez
arquejar	lufar
embusteiro	empulhador
preço	vara
abaratar	abaratear
rosa	róseo
demoniomaníaco	demonopata
frescaço	frescalhote
acurar-se	refinar-se
embicar	emperrar
enervamento	exasperação
acossamento	encalço
desmembração	separação
indiscreto	xereta
frenesiar	irritar
bravo	poisio
escassez	míngua
desprovimento	nudez
fixação	gravação
espancar	tundar
jatância	orgulho
aprazenteiro	aprazerado
sufocar	tocar
desencolerizar	desenfurecer
decepcionar	desencantar
asinino	bordalengo
ejetar	expelir
rebaixar	setear
destrinchar	individuar
arteiro	maquiavélico
honestar	ornamentar
compactar	compendiar
exacerbar-se	malignar
bufo	cômico
saracoteamento	saracoteio
escarnecido	escarnido
enquadrar	possuir
gracejar	joguetear
vagamundear	zaranzar
aperceber	entabular
campônio	rústico
contextura	traça
brusco	inesperado
empanturrar-se	engalar-se
intrigar	onzeneirar
golfar	verter
averiguação	estudo
abonançar	apacificar
afago	favorecimento
cabeço	outeiro
coalizar-se	consorciar-se
aguar	lentar
querença	querência
desavezar	desvezar
fabular	mangar
anêmico	frouxo
perturbador	perturbante
divorciado	quite
teleconduzido	teledirigido
abeirar-se	unir-se
abaçanado	trigueiro
cacoete	tique
alevantar	erguer
bagunçar	pandegar
amputar	cercear
heroísmo	hombridade
bagualada	incivilidade
decesso	perda
fragmentar	partir
aforado	enfiteuticado
confirmador	confirmativo
enervar	exagitar
rejuvenescer	renascer
desgargalado	esgargalado
deter	represar
desapreçar	desapreciar
arroubar-se	embevecer-se
interrupção	travamento
roncar	rugir
abertura	vau
agasalhado	enconchado
apropriado	próprio
insulado	isolado
estranhar	ralhar
designar	preceituar
enfenecer	selar
afinar	polir
manchar	poluir
enraivecer	escandescer
imortalização	notabilização
cortesia	delicadeza
desagastar	desassanhar
barreirar	envalar
oportuno	propício
destroçar	dissipar
sobre-restar	sobreviver
distinção	realce
igualizar-se	uniformar-se
comunicabilidade	comunicatividade
conglobar-se	congregar-se
pelar	rapinar
alegria	júbilo
frustrado	vão
estacional	imóvel
asqueroso	balordo
danificar-se	inutilizar-se
retinir	zinir
estralar	pipoquear
apercebido	providente
desistir	escorraçar
mentir	ocultar
aguçado	apuado
desobedecer	trespassar
banzado	pasmado
robustecer	tonificar
fraturar	quebrar
desentoado	discorde
enfastioso	enjoado
inflexibilidade	rudeza
ecúleo	flagelo
buscado	procurado
destrutibilidade	fragilidade
limo	vasa
desajustar	despegar
biraia	megera
canhoneio	fuzilaria
desdenhar	minimizar
atrapachar	ingurgitar
atocaiar	esquadrinhar
desfalecer	esvanecer
colimar	mirar
hidraéreo	hidroaéreo
rubescer	ruborizar
divisado	estremado
engalhopado	escarnido
gloriar-se	timbrar
linguarado	linguarudo
insaciável	voraz
eterno	imperecedoiro
desvirtuar	violentar
escandalizar	ferir
desmaio	vágado
escouceador	escoucinhador
asfixiador	asfixioso
beleguim	quadrilheiro
baixar	cortar
petimetre	pimpão
entreter	negacear
estrelar	fuzilar
embaciado	rofo
aprontamento	aprontes
absorvedoiro	tragadouro
alcoólatra	bebum
avolumar-se	espessar-se
desvitalização	esgotamento
carpidor	mondador
demasia	desmedida
afrontar	estrompar
temido	valoroso
gentil	prazenteiro
desadorado	renegado
engranzagem	entrós
chamego	galanteio
azoratar	desarvorar
misto	mistura
apoucar	decair
badulaque	penduricalho
concórdia	confraternização
manar	vir
aplacamento	contemporização
desacoroçoador	desconfortador
apropositar	justar
audaz	longânimo
cabuetar	entregar
condenar	desadorar
biltre	vilão
garrular	prosear
intricado	obscuro
decremento	decrescimento
conservação	salvaguarda
temperar	toar
molengão	molengo
alcachinar	tornejar
despreguiçar-se	estender-se
careta	visagem
enlamear-se	pandilhar-se
empacar	entrelaçar
desfraldar	esfraldar
guarir-se	reerguer-se
emborque	esborro
abstração	alheamento
candente	nitente
noctambulante	noctívago
ônus	pensão
purificar	virginizar
contumélia	insulto
cotização	rasca
rasto	rieira
geral	unânime
extrato	fragmento
entesoirador	tesaurizador
feio	insuportável
bêbedo	tonto
mancar	manquitolar
ficha	registro
afiançar	assegurar
arrelioso	rusguento
manear	superintender
esfrangalhar	farrapar
atônito	tolo
disciplinar	sujeitar
chocalheiro	intrigante
cogitar	ponderar
encabulado	vexado
descaído	elanguescido
babujar	borriçar
amassado	espandongado
aviventar	reanimar
arrotar	galhardear
acoucear	agredir
animosidade	desinteligência
desonerar	liberar
envolver	reprimir
repenicar	tanger
barraca	tenda
fingidamente	simuladamente
aspado	aspeado
desacorçoador	desacoroçoador
aferir	balançar
desbordar-se	desenfrear-se
arpear	arpoar
amadurado	assazonado
pacífico	sossegado
tarelo	vozeiro
decaimento	degenerescência
atro	hórrido
liqüidar	perfazer
romper	rotura
desleitado	exúbere
alarmar-se	espaventar-se
aparência	cara
quietitude	repouso
desafinado	discorde
pimponice	rebolaria
caracterizar	descobrir
amolador	maldito
desajuntar	desajustar
apoucado	triste
exemplo	lição
domiciliado	morador
aformosar	vestir
cainho	esganado
filtrar	procurar
esplêndido	esplendoroso
lógico	producente
crescer	progredir
baiuqueiro	taberneiro
esfoguear	pruir
procriar	prolificar
macaquear	repetir
colônia	protetorado
arfadura	arfagem
raposia	viveza
compulsão	empurração
galarada	ramagem
entornar	estragar
borradela	nódoa
torração	torragem
aboletar	agasalhar
estralejar	pipoquear
amparar	estacar
freqüente	ininterrupto
consistir	repousar
estrondear	troar
encravelhar-se	encravilhar-se
briga	turbulência
escorificar	expurgar
arrostar	desafiar
canhestro	esquerdo
simplez	simpleza
equalizar	uniformizar
estadear	ostentar
ermo	tebaida
amoldurado	emoldurado
delongar-se	prolongar-se
desmelindrar	jubilar
mesmo	próprio
desadmoestar	desaferrar
capação	mutilação
afainar-se	azafamar-se
expandir	veicular
banzativo	penseroso
babaré	babaréu
decepar	estropiar
memorando	memoroso
elevado	empolado
acalmar	retundir
amoitar	ocultar
assolação	vastação
envilecedor	rebaixador
descrição	reprodução
prender-se	sujeitar-se
desacerto	mal-entendido
estupefazer	pasmar
criançola	dunguinha
adunar-se	ajuntar-se
abalizar	assinalar
outar	peneirar
bravio	encapelado
dirigir	reger
comparte	sócio
apuro	embaraço
decrépito	descaído
desluzir	mutilar
comparecimento	presença
clamador	gritador
desacautelar-se	desprecatar-se
deletério	pernicioso
opiniativo	problemático
transmissivo	transmissor
agito	alvorotamento
juventa	juventude
absurdo	incoerente
asfixiar	reduzir
embandeirar	nobrecer
arcaístico	perempto
debique	mangação
transmitir	transmitir-se
estufar-se	tumefazer-se
cativar	confinar
sobressaltar	transpor
enxurdeiro	tujucal
alfombrar	entapetar
enverdecer	verdejar
acampamento	rancho
compendioso	resumido
convencer	encasquetar
contaminação	estrago
aquedar	paziguar
manjadoura	manjedoura
conglutinar	congregar
diferir	retrasar
desvão	recanto
aferro	agarração
aglomeração	concentração
embromar	palhetear
anunciação	participação
folhado	folhagem
mal-entrajado	malroupido
recuar	refugir
acatingado	catingoso
adereçar-se	ataviar-se
bordejar	nutar
alfeninado	dengoso
adversão	tribulação
berro	urro
ariscar-se	assustar-se
bestificamento	emparvamento
astuto	finório
entrincheirar	valar
abaratear	rebaixar
contérrito	surpreso
aporreamento	raladura
andado	decorrido
difusamente	largamente
ajuizar	reputar
monja	professa
prescindível	supervácuo
desmentar	enloucar
sobrelevar-se	sobrepujar
rezingar	testilhar
embravecer-se	esturrar-se
engalfinhar-se	rolar
insistir	pisar
conferência	conversação
acachapar	subterrar
esmaniar	tresvariar
buracada	buraqueiro
excruciar	torturar
profetar	saber
grandeza	intensidade
encadear	trincafiar
eruginoso	ruvinhoso
amaricado	aqualirado
folia	noitada
blasfemo	insultuoso
azedar-se	desenfrear-se
alentar	ansiar
enfustar	especar
jatante	vanglorioso
desenlamear	mundificar
desenvolto	inquieto
desperecer-se	deturpar-se
desarranjar-se	descompor-se
rebramar	ressoar
brutalizar	exulcerar
alcovitar	mexericar
áscua	faúla
empestear	pestear
desservido	escasso
meretriz	mulher-do-fandango
averso	desafeto
aperto	miséria
astucioso	espertalhão
banal	nulo
cicatrizar	sarar
deslustre	empanamento
alistar	relacionar
encafifar	tungar
atualizar	renovar
gândara	gandra
agradar	alegrar
atraente	fascinante
imponente	pretensioso
tosar	trosquiar
esfolhar	exterminar
ensaiar	industriar
escandalizar-se	picar-se
arengar	pugnar
desanelar	desencanudar
clareação	dilucidamento
advogar	patronear
espevitar-se	incitar-se
concernência	pertinência
altíssono	estridoroso
travento	travoroso
atilar-se	sazonar-se
curteza	tacanhez
engrimpar-se	lisonjear-se
gordurento	graxo
resguardar-se	tapar-se
coruchéu	píncaro
semideiro	vereda
pernejar	transpor
chocar-se	embater-se
circulação	giração
endurar-se	petrificar-se
doente	paciente
invenção	rodízio
disparatar	sonhar
agoniar	ansiar
abetumar	argamassar
residir	ser
acoroçoar	esperançar
vivaz	vivedor
insubordinação	rebelião
exibição	ostentação
humildade	pobreza
acumular	coacervar
adivinhação	predefinição
corroído	desgastado
alienígena	estrangeiro
inteirar	trancar
ablegar	mandar
afinado	purificado
derribamento	esbarrocamento
amolestar-se	escandalizar-se
nefando	réprobo
dissimular-se	mascarar-se
endoudar	soçobrar
imiscuição	ingerência
incitação	provocação
desadoração	execração
atesar-se	entabuar-se
placidamente	tranqüilamente
encontrão	topada
flato	flatulência
desraizar	jugular
apresentação	cara
anano	anãzado
assoado	esmoncado
levantador	revoltador
delucidar	instruir
desfibrar	examinar
inconveniente	inoportuno
alcofar	intrigar
adquirimento	obtenção
afortalecer-se	retemperar-se
conglobação	conglomeração
desmando	exageração
peguento	visguento
entesar	esticar
retaguarda	traseira
espinoteado	estouvanado
magnanimidade	nobreza
defloração	desvirginamento
desajustar-se	desavir-se
comer-se	dilacerar-se
engorovinhado	espadongado
airosidade	donaire
nomenclatura	relação
chibatear	vergalhar
charlariento	palavreador
divulgar	preconizar
prudente	sensato
espantado	sobressaltado
pantalha	tapa-luz
desagravar	desinchar
moganguice	monada
vigiar	zelar
ondeante	ondulatório
acambetar	coxear
molha	molhadura
apicaçar	puxar
preliar	reixar
antro	fojo
aquecer-se	chispar
encobrir-se	obnubilar-se
hipótese	vislumbre
dissuadidor	dissuasor
dançar	sapatear
pubente	pubescente
ladainha	lengalenga
ecoar	retinir
localista	lugareiro
reboante	retumbante
cuidoso	vigilante
repoiso	sossego
arremessado	desconsiderado
remeter	saltear
controverter	questionar
escapar-se	livrar-se
esbregue	pito
acarpetar	entapizar
entenebrecer-se	negrejar-se
altanaria	sobranceria
jangalamaste	zanga-burrinha
ampliar	dilatar
alternar	rajar
lerdo	tardo
abeberar	desalterar
amoldar-se	formar-se
traquinice	travessura
lacerar	magoar
enfracado	extenuado
fundir-se	submergir-se
enojar-se	entediar-se
acostumado	aquilotado
desenterroado	esterroado
cobrador	recebedor
anarquizar	destemperar
moribundo	morrediço
infernar	tempestear
carimbar	divisar
reduzir-se	sujeitar-se
crispar-se	embabadar-se
impetar	pinçar
expor	submeter
palúrdio	patola
infernal	leteu
justar	pactuar
bulcão	redemoinho
cavalgar	cavaloar
egrégio	ilustre
amagrado	amumiado
superar	trasmontar
desentristecer-se	destristecer-se
marejar	porejar
badó	chapetão
ascendência	predominância
calcinar	queimar
desarticular	esnocar
desemaranhar	esclarecer
caricioso	carinhoso
alindado	esquipado
bajular	lamber
oásico	oasino
opíparo	opulento
adoçante	edulcorante
arrebatamento	fogosidade
aguçar	influir
relacionar	unir
autopsial	autóptico
desesperar-se	rasgar-se
indefectibilidade	perfectibilidade
amarasmado	mazorro
extrair	intuir
absorciso	absortivo
predizer	prenunciar
espetro	simulacro
espacejar	procrastinar
descolorar	descorar
adaptar-se	moldar-se
subordinar-se	torcer-se
monumental	rico
carolo	coque
hospedagem	pousada
escorraçar	espancar
embolso	remuneração
dar-se	ocasionar-se
abrasamento	adustão
foto	retrato
fugida	retirada
despistar	emburricar
aleiloar	leiloar
embarrado	esbarrado
mungida	ordenhação
amor-próprio	auto-estima
desapreciar	desmerecer
redepositar	repor
soez	vil
aventuroso	bendito
desfrisar	desguedelhar
enjoado	soporífero
enfezar	massacrar
dilacerar	esfarrapar
mangar	pilheriar
augusto	brilhante
entrepor	intermeter
reeditar	reestampar
cínico	impudico
rachadura	trinca
apestar	viciar
palhetear	zombetear
diligência	ligeireza
deslustrado	empanado
corruptível	corruto
tapeçaria	tapete
competidor	contendor
lidar	mexer
avanço	vantagem
alargar	alongar
comum	corriqueiro
baderneiro	badernista
engordurado	enlambuzado
entorpecer	imotar
preexcelso	sobreexcelente
dolo	tábua
incompreensível	inexplicável
caliginoso	obscuro
mudança	mutação
sagrado	venerando
acidentar	lesionar
entreabrir	florir
azorragar	chibatar
soronga	tolo
capitoso	opiniático
sambador	sambeiro
assemelhar	parecer-se
fonógrafo	gramofono
oscilar	trepidar
depravar	sofisticar
despistamento	ludíbrio
reparar	sanar
cerrar	juntar
avareza	mesquinharia
velamento	vigília
serpentante	serpenteante
agraciação	galardoamento
apancadado	tonto
embaçado	logrado
cagüetar	delatar
láteo	laticinoso
encíclico	redondo
dama	dona
inoportunidade	intempestividade
colocar	propor
forma	talhe
entendido	percebido
fantasmagoria	visagem
arrebentar	desabar
acalantar	mimar
adejar	jogar
zanaga	zarolho
trapeziforme	trapezoidal
gorjeta	molhadela
derreado	esquadrilhado
alterar-se	transmudar-se
esquartejado	retalhado
bestice	burricada
pife-pafe	pif-paf
altiplano	platô
ajaezado	esquipado
desterroador	estorroador
conto	dito
cismarento	penseroso
surripiar	surrupiar
destemperado	imoderado
caroável	prazenteiro
improdutivo	infrutífero
chilro	trinado
embustear	gambelar
contradito	desmentido
achincalhação	achincalhe
antibrômico	desodorizante
descravejar	desencastoar
cambetear	mancar
amorenar	atrigueirar
enegrecer-se	entrevar-se
esbodegado	estragado
enviesar	inclinar
desprazer	ofender
acovardar	atemorizar
ponxirão	putirão
caraterizar	desencobrir
foragido	homiziado
espinhar	exaltar
pré-escolar	pré-primário
esbarrondadeiro	resvaladoiro
indignar-se	irar-se
fontanal	fontano
enrijecer-se	retesar-se
constituir	deixar
extra-humano	ultra-humano
obstinação	teimosia
magnificente	triunfante
assistido	auxiliado
acendrado	apurado
confeitaria	doceria
ababelar	unir
complicar	enlear
prolóquio	refrão
fracalhão	medroso
informar	inteirar
bainhar	bordar
rega	regadura
arrincoar	estacionar
enrolado	rolê
tomadiço	zangadiço
arvorar	ostentar
deleitação	prazer
inflar	tumescer
bacorinho	leitão
emblema	signa
emborquilhar	transvazar
predominação	supremacia
achar	desentesourar
revitalizar	roborar
combustar	inflamar
adversor	antagonista
distrair-se	dormir
desenfrear-se	envinagrar-se
porfiado	porfiador
avir	enlaçar
ajustar	conluiar
apascentar	espairecer
desolar	ermar
incidir	inflectir
predefinição	profecia
adaptação	conformação
extravagância	ratada
desafogar-se	expandir-se
integralizar	reunir
bacharelada	bacharelismo
candongar	pajear
desvanear	varrer
trinfar	trissar
amostrar	indicar
sumarento	sumoso
essência	substância
encasquetar-se	teimar
arrupiar	enoiriçar
