conhecimento	escola
favorecer	sorrir
criar	fornecer
regougar	rosnar
sacudida	tremor
erro	falha
insignificante	inútil
limpar	rastelar
enfrear	modicar
recondicionar	reparar
diligenciar	intentar
antagônico	contraditório
embate	oposição
afazer	avezar
desflorado	esflorado
imperfeição	senão
gralhar	palavrear
empurpurar	vermelhecer
barrete	casquete
depauperado	empobrecido
maligno	nóxio
cópia	traslado
adjudicar	concatenar
corrigir	ordenar
desfazer	rescindir
pegadiço	tenaz
açodamento	alvoroto
abominoso	aborrecido
engolir	rebater
abugalhar-se	arregalar-se
âmago	bojo
contra-arrestar	empacar
achatadura	amolgadura
sucedimento	sucesso
burlequear	haraganar
aquebrantar	infringir
amorenado	bronzeado
assombrear	entrevar
contrariar	desgostar
concordar	tratar
desmentir	diferir
manha	savoir-faire
gulodice	lambiscaria
calhorda	desprezível
relembrar	revivescer
pantear	zombar
mariposar	mariposear
discorrer	especular
intensificar	recrescer
avançar	vingar
curar	ocupar-se
estudar	habilitar-se
porte	vivenda
enfuriar	exaltar
declinar	sair
desmaecer	esmaiar
abespinhável	anojadiço
gretar	rachar
estradear	mandar
esfriamento	resfriamento
dizedor	tagarela
incólume	intacto
desocupar	vaziar
escárnio	ludíbrio
provimento	tento
devolutivo	devolutório
embuçalar	trautear
baratar	desvalorizar
nugativo	vão
socalcar	suplantar
ressaído	ressaltado
denegrecer	deslustrar
arredado	derivado
jovem	mancebo
acessível	comunicativo
abanar	balouçar
ameigar	ceder
regularidade	uniformidade
aromático	olorante
importuno	inadequado
desprestígio	queda
marroada	porretada
atafulhado	espadongado
amenoso	suave
equânimo	justo
impregnar	induzir
coruscação	relâmpago
deixar	respeitar
desmemoriado	esquecido
derreigar	desraigar
chavasqueiro	rústico
finalidade	papel
coligir	extrair
ressoar	rimbombar
esbarrar	refugar
individuar	privilegiar
cerebral	mental
captar	produzir
ciumoso	invejoso
marginal	ripícola
cândido	melindroso
suspensão	transporte
derrapar	patinar
gadelhudo	guedelhudo
rebentar	vir
abacelar	embacelar
desfiar	esgarçar
argüir	porfiar
emperrar	estomagar
apodrecido	decomposto
aclimado	avezado
alijar	cuspir
amodorrar-se	imergir-se
incoerência	incongruidade
apunhalar	frechar
aberto	aprofundado
melhorar	serenar
harpagão	sovina
enzonzar	estontear
circular	mexer-se
desamável	grosseiro
degelar	desgelar
escabritar-se	estomagar-se
berregar	expluir
obcecação	paixão
apalermado	tolo
antidemocrata	antidemocrático
extravaganciar	malbaratar
agitado	fremente
fortificação	praça
emporcalhar-se	enodoar-se
augurar	conjecturar
bamboleante	gingante
afluir	refluir
aprestado	preste
alhanado	igualado
abrangência	encerramento
alborcar	cambar
dar	engendrar
descreditar	exautorar
babaca	babão
defumar	perfumar
estafa	exaustão
roldão	sarrabulhada
atiçar	espicaçar
concutir	encasquetar
altaragem	voto
aparelho	utensílio
arcaboiçar	esboçar
assinar	traçar
estuporar	perder
câmbio	troca
colorante	corante
matagal	selva
negociado	permutado
dúlcido	fagueiro
desasseado	espurco
dessoterrar	revelar
embasbacado	surpreso
devaneio	faz-de-conta
corromper	malignar
barulhoso	rumoroso
comprobação	confirmação
contaminar	infeccionar
poder	suportar
inçar	invadir
atingir	fisgar
apoquentar-se	molestar-se
deliberado	resoluto
exsuar	transudar
depreciação	maledicência
complicação	embaraço
desterro	solidão
alagado	arrasado
arruaceiro	bagunceiro
adensar	condensar
pername	pernão
cansaço	lassitude
agregar-se	consociar-se
fiel	sectário
exploração	parasitismo
dilapidar	esfrangalhar
encabular	perseguir
zabumbar	zupar
queimar	requeimar
calafriento	calefriento
atumultuar	desarrumar
belo	suave
aromalizar	balsamar
abeirante	rente
puxar	tender
estabilidade	firmeza
objetivo	objeto
andar	operar
arrebatado	desembestado
aprazado	procrastinado
anojar	entediar
caborje	salgação
distinguido	divisado
bimar	bímare
brejo	sapal
incendiar-se	referver-se
patetear	pejar-se
hipócrita	refalsado
lentescente	pegajento
nuvem	sombra
descombinar	inimistar
batalhar	militar
cusparada	cuspinhada
impersistente	inconstante
denotar	expressar
arrependido	compungido
assustador	terrível
arenguear	rezingar
conta-giros	taquímetro
desgrenhar	enredar
abrigado	amparado
estendal	varal
rebrilhante	resplandente
espinicado	janota
costume	uso
persistir	ter-se
facetar	refinar
encoberto	nuvioso
farfante	vaniloqüente
espinho	ferrão
arrelia	zanga
espetar	traspassar
adocicado	melífluo
comparável	parecente
desatender	empalidecer
gebo	mal-apresentado
fé	religiosidade
esplendecer	flamejar
borbotão	borbulhão
descarregar	desquitar
remover	transferir
anteferir	preferir
genetriz	genitora
deter-se	plantar-se
fornir	munir
alterar	danar
impedimento	obstáculo
contestar	contrariar
engraxador	engraxate
cabeçudo	contumaz
hierático	religioso
empreendimento	firma
guarda-louça	louceira
coriscar	relampear
fulgor	rutilação
glutinoso	peguenhento
anojadiço	azougado
alentoso	alto
desgarrar	empestear
instantâneo	momentâneo
encruar-se	excitar-se
desempachar	livrar
maçador	paulificante
esperteza	subtilidade
repetir	voltar
estuoso	febricitante
entufar	inturgescer
fementido	frustratório
rumor	runrum
proteger-se	velar-se
desvirtuar-se	perder-se
alcantilado	alcantiloso
acalentar	bafejar
elanguescer	prostrar
bacante	tíade
pacato	tranqüilo
gabela	gavela
atender	ver
graduação	graduamento
alcançar	depreender
transgredir	travessar
apedrar	lapidar
fuzilar	luziluzir
ardejar	chamear
fragrante	odorífico
lisonjear-se	repastar-se
desobstrução	desobstruência
comido	nutrido
semi-aberto	semicerrado
cuidadoso	cuidoso
inibir	negar
consecutivamente	sucessivamente
desumano	subumano
embuste	embustice
ranger	rechinar
aumentar-se	intensificar-se
afanar	ladroar
intermear	intermediar
esmerilhar	limar
abolorentar	mofar
bestial	desalmado
divagar	flanar
embriaguez	inebriamento
acabrunhado	aniquilado
espalhar	juncar
aceso	arremessado
correr	enxotar
abracadabrante	mágico
glorificar-se	jactar-se
arrogância	inchação
garrir	papear
horda	tropel
bolar	engenhar
registar	titular
irritadiço	violento
moiro	mourisco
cariciar	cortejar
