a-bê-cê	abecedário
acalento	alívio
acalmado	aplacado
acalmamento	mitigação
acalmar	retundir
acalmar-se	placar
acalmação	acalmamento
acalorado	esfogueado
acalorar-se	entusiasmar-se
acamado	assentado
acambetar	coxear
acampamento	rancho
acampanar	espevitar
acanalar	ranhurar
acanalhado	amolecado
acanalhar-se	desonrar-se
acanaveadura	cruciação
acanavear	dilacerar
acanavear-se	emagrecer-se
acanelar	estriar
acanhado	covarde
acanhamento	aperto
acanhar	avergonhar
acanhar-se	embaraçar-se
acantoar	isolar
acantológico	mordaz
acapachado	humilhado
acapelado	enfurecido
acapelar	fundir
acarar	afrontar
acarar-se	olhar-se
acareador	acareante
acarear	carear
acariciado	ameigado
acariciador	amimador
acariciante	fagueiro
acariciar	mimosear
acariciativo	amimador
acarinhamento	quindim
acarinhar	mimar
acarminar	envermelhecer
acarpetar	entapizar
acarrar	resfolegar
acarrear	suscitar
acarretar	produzir
acarreto	plagiato
acasalar-se	concubinar-se
acasmurrado	porfiado
acaso	quinhão
acastelado	coacervado
acastelar-se	acumular-se
acastoado	encastoado
acatamento	obediência
acatar	aceitar
acatingado	catingoso
acatitado	aperaltado
acautelado	velhaco
acautelar-se	resguardar-se
acavalar	superpor
acaçapar	encafuar
acaçapar-se	acovar-se
aceder	acrescentar
aceirar	aguçar
aceitar	subscrever
aceitação	aprovação
aceitável	receptível
acelerar	apressar
acenar	menear
acender	espicaçar
acender-se	vulcanizar-se
acendrado	apurado
acendrar	defecar
acendível	inflamável
acentuado	saliente
acentuar	pronunciar
acepilhado	polido
acepção	significado
acerar	azerar
acerbidade	austeridade
acerbo	amaroso
acercar-se	aconchegar-se
acertamento	transação
acervo	amontoado
aceso	arremessado
acesso	comunicação
acessão	acrescente
acessível	comunicativo
acessório	detalhe
acetificar-se	vinagrar-se
achacado	corrompido
achado	inventado
achamboado	mal-enjorcado
achambonado	achavascado
achanar	alhanar
achaque	moléstia
achar	desentesourar
achar-se	encontrar-se
achatadura	amolgadura
achatar	esmagar
achatar-se	agachar-se
achega	ajudadouro
achegar-se	chegar-se
achincalhamento	escárnio
achincalhação	achincalhe
achincalhe	ridiculização
achinfrinado	turbulento
acidade	acidez
acidentar	lesionar
acidente	contratempo
acidentário	brusco
acidável	acidificável
acima	ascensionalmente
acinte	injúria
acintoso	maldadoso
acionário	acionista
acipreste	cipreste
acirrado	exacerbado
acirramento	concitação
acirrante	exasperante
acirrar	pruir
acirrar-se	exasperar-se
aclamado	aplaudido
aclamação	prova
aclarar	expurgar
aclarar-se	alumbrar-se
aclarecer	escurentar
aclimado	avezado
aclimar-se	habituar-se
aclimatado	treito
aclimatar-se	aclimatizar-se
aclimatação	ajustamento
aclimatável	aclimável
aclimação	aclimatação
aclivoso	enladeirado
acme	cúmulo
acobardado	atemorado
acobardar	atemorizar
acobardar-se	atemorizar-se
acobertar	roupar
acobertar-se	enroupar-se
acochar	inquerir
acoelhado	assustado
acogulado	atulhado
acoimado	castigado
acoimador	repreensor
acoimar	encoimar
acoitar	acolher
acoitar-se	entroixar-se
acolchetar	colchetar
acolher	agasalhar
acolhimento	guarida
acometer	apossear-se
acometimento	saltada
acomodado	digno
acomodar	arrumar
acomodar-se	adequar-se
acompleiçoado	acomplexionado
acomunar-se	mancomunar-se
aconchavar	ajustar
aconchavar-se	aparceirar-se
aconchegado	aproximado
aconchegar	vizinhar
aconchegar-se	encolher-se
acondicionar	justar
acondutar	picuar
aconselhado	recomendado
aconselhamento	persuasão
acontecimento	evento
acordamento	excitação
acordar	concitar
acordo	conformidade
acoroçoar	esperançar
acorrer	lembrar
acorçoar	aquecer
acossamento	encalço
acossar	confranger
acostado	parasita
acostar	coser
acostumado	aquilotado
acostumar	traquejar
acostumar-se	costumar-se
acotovelar	esporar
acoucear	agredir
acoutar	gasalhar
acoutar-se	aninhar-se
acovar	cravar
acovar-se	amoutar-se
acovardado	atemorado
acovardar	atemorizar
acovardar-se	estremecer-se
acravar-se	espetar-se
acre	agro
acre-doce	agridoce
acreditado	afiançado
acreditar	crer
acreditável	crível
acrescentado	anexado
acrescentar	temperar
acrescente	adicionação
acrescer-se	adicionar-se
acridez	requeime
acrimônia	agro
acrisolado	cendrado
acrisolar	madurar
acrisolar-se	perfeiçoar-se
acroase	dissertação
acréscimo	adicionamento
acróbata	volatim
acuação	acuamento
acudir	afluir
acuidade	fineza
acume	máximo
acumetria	acuometria
acuminar	amolar
acumpliciar	cumpliciar
acumular	coacervar
acumulação	aglomeração
acupunctura	acupuntura
acurado	aprimorado
acurar-se	refinar-se
acurralar	encantoar
acurrar	enrinconar
acurtar	compactar
acurvado	alombado
acurvamento	derreamento
acurvar	dobrar
acérrimo	teimoso
acético	acre
acômodo	favorável
acôntio	seta
acúmen	fastígio
acúmulo	montão
adamado	alfeninado
adaptado	habituado
adaptar	preparar
adaptar-se	moldar-se
adaptação	conformação
adargar-se	velar-se
adejar	jogar
adelgadar	renegar
adelgar	empalecer
adelgar-se	afilar-se
adelgaçamento	afunilamento
adelgaçar	engoiar-se
adensar	condensar
adensar-se	inspissar-se
adentrar	embocar
adepto	prosélito
adequadamente	propriamente
adequar	harmonizar
adequar-se	arranjar-se
adequação	correspondência
adereçado	aparamentado
adereçamento	decoração
adereçar	emoldar
adereçar-se	ataviar-se
adereço	requifife
adergar	falar
aderir	gostar
adestrado	industriado
adestrar	disciplinar
adiado	retardado
adiamento	transferência
adiantado	antecipado
adiantar	antecipar
adiantar-se	avançar
adiar	espacejar
adicionado	aposto
adicionamento	aumento
adicionar	enxertar
adido	amparado
adinamizar	desvigorizar
adinheirar	adornar
adiposidade	corpulência
adiposo	balofo
aditamento	adjeção
adivinhador	áuspice
adivinhar	depreender
adivinhação	predefinição
adiável	protelável
adição	suplemento
adjacente	arredor
adjacência	arrebalde
adjeto	conjunto
adjudicar	concatenar
adjugar	descativar
adjunto	auxiliador
adjunção	associação
adjurar	invocar
adjutório	ajudadouro
administrado	encabeçado
administrador	despenseiro
administrar	governar
administração	direção
adminículo	ajudadoiro
admirabilidade	genialidade
admirado	banzado
admirar-se	mirar-se
admiração	estranheza
admirável	excelente
admissão	aprovação
admitir	permitir
admoestador	admonitor
admoestar	escovar
admonição	escarmento
adoba	adobe
adocicado	melífluo
adocicar	dulcificar
adocicar-se	amulherar-se
adoidar	endoidecer
adolescer	gradar
adolo	rapapé
adomar	temperar
adomesticar	domesticar
adonismo	garridice
adorador	fã
adormecer	atenuar
adormecido	repousado
adormentar	amortificar
adornado	ataviado
adornar	formosentar
adornar-se	paramentar-se
adorno	guarnecimento
adotar	presentar
adoudado	destrambelhado
adoudar	variar
adoçado	dulcificado
adoçamento	adocicamento
adoçante	edulcorante
adoçar	aligeirar
adquirimento	obtenção
adquirir	tirar
adquisição	alcance
adregar	vir
adscrever	algemar
adstringente	adstringitivo
adstringir	dobrar
adstringir-se	restringir-se
adstritivo	estíptico
adstrito	restrito
adstritório	estíptico
adubar	assazonar
adufe	adufo
adulador	zumbaieiro
adular	engraxar
adulterado	contrafeito
adulterar	extraviar
adulterar-se	perverter-se
adulteração	adultério
adulterino	contrafeito
adulto	crescido
adultério	burlaria
adulão	louvaminheiro
adumbrar	debuxar
adunar-se	ajuntar-se
adurente	queimoso
adurir	incandescer
aduzir	presentar
advento	chegada
adventício	estrangeiro
adversar	colidir
adversativo	encontrado
adversidade	contratempo
adversor	antagonista
adversão	tribulação
advertido	prevenido
advertir	repreender
advertir-se	atentar
advir	realizar-se
advogado	defensor
advogar	patronear
adágio	provérbio
aeração	arejo
aerobata	aeróbata
aerífero	aerófaro
afabilidade	suavidade
afadigado	afanado
afadigar	pregar
afadigoso	estafante
afagado	mimado
afagar	mimar
afagar-se	apascentar-se
afago	favorecimento
afagoso	amimador
afagueiro	festeiro
afainar-se	azafamar-se
afalcoar	estimular
afaluado	afobado
afamado	egrégio
afamar	celebrizar
afamar-se	resplender
afamilhar-se	juntar-se
afamiliado	maridado
afanado	fatigado
afanar	ladroar
afanar-se	aplastar-se
afanoso	fatigante
afarelar	desmiuçar
afastado	retirado
afastamento	apartada
afastar	retirar
afastar-se	alhear-se
afazer	avezar
afazer-se	costumar-se
afazeres	tarefas
afear	desadornar
afeiar	desguarnecer
afeiçoado	unido
afeiçoamento	querença
afeição	predileção
afeminado	amulherengado
afeminar	feminizar
aferar	marfar
aferido	comparado
aferidor	afilador
aferir	balançar
aferrado	insistente
aferrar	aportar
aferrar-se	empeiticar
aferrenhar-se	empeiticar
aferretoar	agulhar
aferro	agarração
aferroar	maltratar
aferrolhar	enclausurar
afervorar	despertar
afetar	irritar
afetar-se	prejudicar-se
afetação	soberba
afetividade	querência
afetivo	namorado
