a-bê-cê	abecedário
balancear	comparar
balanquear	pespontar
balançar	cotejar
balanço	sacolejo
balbuciar	tartamelear
balburdiar	confundir
balbúcie	tartamudeio
balbúrdia	pandemônio
balcedoso	lameirento
balceiro	balseiro
balcão	sacada
baldaquino	sobrecéu
balde	caçamba
baldear	golfejar
baldio	improducente
baldo	carente
baldrocado	mistificado
baldrocar	tapear
balela	boato
balizar	sinalar
balnear	banhar
balneário	terma
balofo	corpulento
balordo	manco
balouçado	embalado
balroar	preliar
balsamizar	embalsamar
balsâmico	perfumoso
balão	esfera
bambaleadura	boleamento
bambalear	sacudir
bambalear-se	rebolir-se
bambaleio	bamboleadura
bambalhão	preguicento
bambear	esbambear
bambeza	languidez
bambo	lasso
bamboar-se	remexer-se
bamboleante	gingante
bambolear	sacudir
bambolear-se	requebrar-se
bambá	bruega
banal	nulo
banana	pateta
bancarrota	debacle
banda	parte
bandada	pelotão
bandarra	rúfio
bandarrear	mariolar
bandear-se	passar-se
bandeira	emblema
bando	turba
bandurrear	bestar
banguela	benguela
bangular	pervagar
banha	chorume
banhar	embeber
banhar-se	lavar-se
banho	lavadura
banido	refugiado
banir	desconjurar
banzado	pasmado
banzar	remoer
banzativo	penseroso
baque	colisão
baquear	esfazer
barafunda	desordem
baralhada	rondão
baralhamento	permistão
baralhar	desordenar
baratar	desvalorizar
barateado	regateado
baratear	envilecer
barato	prosaico
barbante	negalho
barbear-se	raspar-se
barbárico	bruto
barcada	barcagem
barda	tapagem
barganha	pechincha
barganhado	permutado
barquear	barquejar
barqueiro	catraieiro
barraca	tenda
barracar	enrinconar
barral	barreira
barranca	barranco
barrar	engarrafar
barreirar	envalar
barrela	coada
barrete	casquete
barrica	vasilha
barril	vasilha
barrufar	pingar
barulhar	estourar
barulho	ostentação
barulhoso	rumoroso
base	fundação
basear	firmar
basear-se	estear-se
basilar	essencial
bastardear	degenerar
bastida	estacada
bastonada	bordoada
bastão	denso
batalha	torneio
batalhador	pelejador
batalhar	militar
batalhão	rancho
batelada	chorrilho
bater	delombar
batida	rebordosa
batido	calcado
batina	samarra
batoque	gargaleira
batotar	trapacear
batueira	tamboera
batumado	encrespado
batério	beataria
bazofiador	pimpão
bazofiar	galrar
bazófia	ostentação
beataria	beatismo
beatice	beatismo
bebedeira	embriagamento
bebedor	cachaceiro
beber	libar
beberar	infiltrar
beberes	bebes
beberraz	beberrote
beberricar	pingolar
beberrote	cachaceiro
bebida	líquido
bebido	emborrachado
bedelhar	cavaquear
beija-flor	colibri
beijar	oscular
beira	vizinhança
beirar	brolar
beleguim	quadrilheiro
beleza	diva
beliscado	incitado
beliscadura	morsegão
beliscar	estugar
belo	suave
belver	miradoiro
bem	felicidade
bem-afortunado	fortunoso
bem-arranjado	bem-parecido
bem-aventurado	fortunoso
bem-aventurança	fortuna
bem-composto	bem-vestido
bem-criado	fino
bem-ditoso	fortunoso
bem-ouvido	submisso
bem-parecido	bonito
bem-proporcionado	esbelto
bem-querer	estimar
bem-sonante	sonoro
beneficiado	favorecido
beneficiar	restabelecer
beneficiário	favorecido
benefício	graça
benemerência	mérito
benemérito	insigne
benevolente	bondoseiro
benevolência	bondade
benfazente	favorável
benfeitoria	melhoramento
bengalada	sarrafada
benigno	indulgente
benquistar	compor
benquisto	estimado
bentinho	escapulário
bençoar	favonear
benéfico	bondoseiro
benévolo	indulgente
berloque	pendericalho
berrante	clamador
berrar	estrilar
berregante	clamador
berregar	expluir
berreiro	grita
berro	urro
berço	pátria
besta	rombo
bestalhão	boboca
bestar	vagar
bestear	zanzar
bestial	desalmado
bestializar-se	embrutecer-se
bestice	burricada
bestificado	estupefeito
bestificamento	emparvamento
betar	marchetar
betumar	betuminizar
bexigar	trotear
bezerra	novilha
bichado	empedrado
bifar	larapiar
bifurcar	derivar
bigodear	chalaçar
bigorrilha	tracambista
biliar	bilioso
biliardário	multimilionário
biliteral	bilítero
bilontragem	vergalhada
biltre	vilão
bimar	bímare
bimbalhar	dar
binar	biscantar
biografia	vida
biografista	biógrafo
biqueira	goteira
biraia	megera
biricera	miudeza
birote	pericote
birra	mau-humor
birrar	encavacar
birrento	embirrento
bisbilho	múrmur
bisbilhoteiro	coscuvilheiro
bisonho	principiante
bispar	surrupiar
bissociação	trocado
bituca	ponta
bizarrear	gabar-se
bizarria	gala
bizarrice	extravagância
bizarrismo	extravagância
bizarro	longânime
blague	sal
blasfemo	insultuoso
blasonador	bufador
blasonar	parlapatear
blindado	encouraçado
bloquear	proibir
bloqueio	trava
boato	voz
bobeira	tontaria
bobice	ébia
bobinar	embobinar
bobo	patau
boboca	paspalhão
boca-rota	boquirroto
bocadinho	pedaço
bocejar	oscitar
bochincheiro	rusguento
bochornal	calmo
bochornoso	sufocante
bocó	zote
bodega	cevadeira
bodoso	embodegado
bodum	fartum
bofar	resfolegar
bofetada	bofetão
bofetear	estapear
bofetão	munhecaço
boiante	flutuador
boiar	patetar
bojamento	bojo
bojar	crescer
bolacha	pitomba
bolar	engenhar
bolboso	bulbáceo
boldrié	talim
bolear	esmerilar
boleta	penduricalho
bolhar	borbulhar
bolçar	regurgitar
bom	competente
bombinha	traque
bombástico	grandíloquo
bonacheiro	bonanchão
bonacheirão	bonacheiro
bonança	sossego
bondadoso	bondoseiro
bongar	vigilar
bonificar	laurear
bonitete	bonitote
bonito	elevado
boquear	vasquear
boquejadura	cochicho
boquejar	difamar
boquiaberto	pasmado
borboleteador	borboleteante
borbotão	borbulhão
bordar	broslar
bordejar	nutar
bordoada	maçada
bordão	cacete
borraceiro	borriço
borracheira	embriagamento
borradela	nódoa
borrar	ensaburrar
borrar-se	emporcar-se
borraçal	tramolhada
borrifar	serenar
borriçar	pingotear
borriço	molinheiro
botar	embotar
botar-se	desembestar-se
boto	cego
botocudo	rústico
boucera	tomento
boxe	pugilismo
boçal	rude
bradar	esgoelar
bradejar	uivar
bramar	toar
bramir	explodir
bramoso	furioso
branco	lácteo
brandear	desencruar
brando	fagueiro
brandura	macieza
brandão	tocha
branqueado	caleado
branquear	embranquecer
branquejar-se	encanecer-se
bravatear	fumacear
bravejar	ulular
braveza	fereza
bravio	encapelado
bravo	poisio
bravura	resolução
brecar	domar
brejeirice	garotice
brejeiro	tunante
brejo	sapal
brejoso	charqueiro
breve	sinótico
breviloqüente	sintetizado
briga	turbulência
brigante	conflituoso
briguento	rusguento
brigão	briguento
brilhante	fastoso
brilhantismo	majestade
brilhar	sobressair
brilho	luzimento
brincadeira	gozação
brincado	engalenado
brincalhão	engraçado
brincar	divertir-se
brinde	voto
brio	potra
brioso	destemeroso
britar	migar
brocar	lurar
bromar	corroer
bronco	calino
bronquear	trautear
brotadura	gomo
brotamento	renovo
brotar	propagar
brumaceiro	nevoento
brumado	brumoso
brunhir	polimentar
brunido	reluzente
brunir	polimentar
bruno	escuro
brusco	inesperado
brutal	desumano
brutalidade	selvageria
brutalizar	exulcerar
brutalizar-se	descivilizar-se
brutalmente	brutamente
brutificar	descivilizar
brutificar-se	descivilizar-se
bruto	mazorro
bruxa	feiticeira
bruxaria	salgação
bruxedo	macumba
bruxo	necromante
bruxulear	estrelar
bucuva	tolaz
bucólico	campeiro
bueiro	sumidoiro
bufador	vaníloquo
bufo	cômico
bufão	farsante
bulcão	redemoinho
bulhento	rumoroso
bulhão	rixador
bulir	comover
bumbar	zurzir
buracada	buraqueiro
buraco	hiato
burburinho	murmurinho
burla	fraudulência
burlado	embaído
burlador	logrativo
burlante	trapaceiro
burlar	tapear
burlaria	falsificação
burlequear	haraganar
burlescamente	comicamente
burlesco	cômico
burlão	intrujão
burrego	burro
burricada	parvoíce
burundanga	embrulhada
buscado	procurado
buscar	pegar-se
butuca	espora
buzinada	cornetada
buído	safado
bá	pajem
báratro	sorvedoiro
bárbaro	violento
bátega	cordoada
bêbado	mordido
bêbedo	tonto
bólido	zelação
cabalar	enredear
cabana	tijupar
cabeceira	manadeira
cabeladura	encabeladura
caber	conter
cabeça	chefe
cabeço	outeiro
cabeçudo	contumaz
cabido	pertinente
cabimento	propósito
cabisbaixo	humilhado
cabo	extremidade
caboclo	caipira
caborje	salgação
cabortar	carapetar
cabotagem	costeio
cabouçar	desencavar
cabriolar	piruetear
cabrocar	segar
cabrucar	roçar
cabrum	caprum
cabuetar	entregar
cacarecos	petrechos
cacarejar	chilrar
cacaria	caranguejola
cacaréus	caraminguás
cacerenga	caxirenguengue
cacetada	cachamorrada
cacetear	fartar
cachaceira	zangurrina
cachaceiro	ebrioso
cachamorrada	marretada
cachar	capear
cachaça	pinga
cachaço	toitiço
cachaçudo	soberbo
cachetar	caçoar
cachimbar	esfumear
cachimbo	pito
cacho	caracol
cachorrada	cainça
cachorrice	cafajestice
caco	entulho
cacoete	tique
cacunda	canastra
cadaveroso	mortuoso
cadeia	corrente
cadenciado	rítmico
cadencioso	melodioso
cadimo	sagaz
cadinho	crisol
cadivo	coroca
caducidade	decrepitude
caduco	senil
caduquez	decrepidez
cafangar	galhofear
cafifice	cafifismo
cafundó-do-judas	cafundório
cagüetar	delatar
caiar	emascarar
cainho	esganado
caiongo	passado
caipirice	jequice
caiporice	caiporismo
caiporismo	malogro
cair	desgrudar-se
cairelar	embainhar
caixa	caixote
caixa-forte	cofre-forte
cajadada	pancada
calado	embuchado
calafetagem	calafetamento
calafetamento	vedação
calafriento	calefriento
calar	mentir
calcadura	esmagamento
calcamento	esmagamento
calcanhar	couce
calcar	encarregar
calcinar	queimar
calcitrar	engravitar-se
calcular	medir
calda	xarope
caldear	liar
caldear-se	mestiçar-se
calejado	catuzado
calejar-se	obdurar-se
calendário	cronograma
calhar	quadrar
calhorda	desprezível
caliginoso	obscuro
calino	rombo
calipígico	calipígio
calista	pedicuro
calistismo	mofina
calma	repouso
calmante	sedativo
calmar	contentar
calmar-se	desencalmar-se
calmo	calmoso
calo	tiloma
caloiro	recruta
calor	queimor
caluniar	desonestar
calvinista	presbiteriano
calçadeira	descalçador
calçamento	passeio
calúnia	mentira
camada	classe
cambalear	titubar
cambalhotar	piruetar
cambapé	gambérria
cambar	dar
cambembe	estavanado
cambetear	mancar
caminhador	caminhante
caminhar	ir
caminho	trilho
campaniforme	campanuláceo
campanulado	campanular
campar	enrinconar
campear	pleitear
campânula	redoma
campônio	rústico
canal	medianeiro
canastra	lombo
cancelamento	rescisão
cancelar	rescindir
canceroso	carcinomatoso
cancioneiro	divã
candelabro	serpentina
candente	nitente
candongar	pajear
candongueiro	lisonjeador
canhambola	quilombola
canhestro	esquerdo
canhoneio	fuzilaria
canhoto	desjeitoso
cano	tubo
canoura	tremonha
cansar	entibiar
cansar-se	estafar-se
cansaço	lassitude
canseira	fatigamento
cansável	fatigável
cantar	levantar
canção	cantadela
caolho	zerê
caos	inferno
capacidade	competência
capacitado	capaz
capadura	emasculação
capanga	pistoleiro
capangada	jagunçaria
capação	mutilação
capcioso	sabido
capeado	encoberto
capear	carambolar
capela	grinalda
capelo	chapeirão
capengante	carapé
capinador	carpidor
capinar	roçar
capiongo	juruju
capital	mortal
capitalizar	poupar
capitoso	opiniático
capitular	conceituar
captar	produzir
capucho	insociável
capuz	chapeirão
caquerejar	palrear
cara	queixo
caracolear	volutear
caracterizar	descobrir
caracterizar-se	especializar-se
característica	particularidade
característico	genuíno
carambolar	engabelar
caramboleiro	cuvilheiro
caramunhar	chorincar
caranguejar	embasbacar
caranguejola	casca-de-noz
caraolho	olhizaino
carapuça	gorro
carapé	pencó
caraterizar	desencobrir
caraterística	singularidade
caravana	tropa
carcarejar	matraquear
carcerar	prear
carcomer	devorar
cardinal	principal
cardinalesco	cardinalício
carecer	padecer
careta	visagem
careteiro	mogangueiro
carga	opressão
caricato	cômico
cariciar	cortejar
caricioso	carinhoso
cariciável	suave
caridoso	caritativo
carimbar	divisar
carinho	vigilância
carinhosamente	meigamente
carinhoso	doce
carismático	epiléptico
cariz	celagem
carmim	carminado
carminar	esfoguear
carnalidade	mundanalidade
carnavalear	doudejar
carnear	siderar
carneiro	ossuário
carniceiro	magarefe
carnificina	matança
caro	precioso
carolo	coque
caroneado	deluso
caronear	desvairar
caroável	prazenteiro
carpetar	entapizar
carpidor	mondador
carpir-se	lamuriar-se
carquilha	ruche
carrancudo	sobrancelhudo
carrapatar-se	grudar-se
carrascoso	carrasquento
carrear	transportar
carregado	intenso
carregar	prostrar
carreira	trilha
carreirismo	oportunismo
carro	veículo
carruagem	diligência
carta	diploma
cartada	lanço
carteamento	correspondência
carteira	escrivaninha
cartório	tabelinado
caráter	qualidade
carão	tosa
carência	míngua
carícia	quitute
casa	residência
casaco	paletó
casar-se	unir-se
casca	côdea
cascar	descorticar
cascavel	chocalho
cascorriento	perebento
caseiro	humildoso
casmurro	encaramujado
caso	episódio
casquilhar-se	encasquilhar-se
casquilho	puxadinho
casquinada	motejo
casquinha	plaquê
cassar	resilir
casta	linhagem
castamente	inocentemente
castear	reproduzir-se
casticação	importunação
castidade	continência
castigar	ensinar
castigar-se	penitenciar-se
castigo	reprimenda
castiçar-se	copular-se
casto	ingênuo
castrar	mutilar
casual	imprevisto
casualidade	esporadicidade
catadupa	salto
catar	seletar
catarata	salto
categoria	posição
categoricamente	expressamente
catingudo	caxinguento
cativante	sedutor
cativar	confinar
cativar-se	subjugar-se
catraca	roleta
caturrar	encasquetar-se
catálogo	elenco
causa	partido
causticar	narcotizar
cautela	circunspeção
cauteloso	providente
cauterizar	confranger
caução	fiança
cauíla	tacanho
cauíra	mesquinho
cavacos	sarandalhas
cavador	furador
cavalariça	persigal
cavalgar	cavaloar
cavalheiresco	gentil
cavalheirismo	galanice
cavaquista	irritável
caveira	crânio
cavilhar	tarugar
cavoucar	escavar
caxinguento	fedegoso
caxiri	veneno
caça	perseguição
caçambeiro	lisonjeador
caçoada	trote
caçoador	sarcástico
caçoante	zombador
caçoar	satirizar
caído	gelado
ceder	diminuir
cediço	prosaico
cegante	deslumbroso
cegar	embaciar
cegar-se	lograr-se
cegueira	fanatismo
ceifar	fouçar
celebrar	exalçar
celebridade	fama
celebrização	imortalização
celeste	celestial
celsitude	excelsitude
cena	espetáculo
cenagoso	obsceno
cenosidade	impureza
cenoso	forte
cenrada	lixívia
censionário	censitário
censual	censuário
censura	raspanete
censurado	reprovado
censurar	estranhar
centelha	faísca
centelhar	vagalumear
cenário	cenatório
cercar	toucar
cercear	estreitar
cerco	cinto
cerebral	mental
cerimonioso	mesurado
cerimônia	requifife
cerrado	unido
cerrar	juntar
cerrar-se	encangotar-se
cerro	outeiro
certame	justa
certar	debater
certeza	segureza
certâmen	justa
cerzir	intervalar
cessar	terminar
cesto	patiguá
cesura	corte
cevado	gordo
cevo	engorda
chacota	remoque
chacotear	zombar
chafurda	enxurdeiro
chafurdar	enlodar
chafurdeiro	porqueira
chafurdice	sordície
chalacear	vasconcear
chalaçar	pagodear
chaleirar	lisonjear
chaleirice	chaleirismo
chalrador	gralhador
chamada	ligação
chamado	convocatória
chamamento	rebate
chamar-se	qualificar-se
chamboado	mal-apresentado
chamego	galanteio
chamejamento	chamejo
chamejar	esplendecer
chamuscada	chamusco
chamuscadura	sapeca
chamuscar	crestar
chance	deixa
chancelar	timbrar
chanfradura	entalhadura
chanfro	talha
chapa	tabla
chapar-se	estirar-se
charlar	tartarear
charlariento	palavreador
charro	grosseiro
charruar	navegar
charutaria	tabacaria
chasqueador	ludibrioso
chasquear	pantear
chatear	destroçar
chateação	importunação
chateza	estopada
chatinar	subornar
chato	liso
chavascada	preacada
chavascal	cortelha
chavasco	grosseiro
chavasqueiro	rústico
chavasquice	impolidez
chavear	fechar
checagem	verificação
checar	reverificar
chefiar	patroar
chegada	tornada
chegadiço	metido
chegado	íntimo
chegar	vingar
chegar-se	conformar-se
cheia	undação
cheio	completo
cheirante	odoroso
cheirar	intuir
cheiro	rabeira
cheiroso	olorado
chiar	ferretoar
chibante	jactancioso
chibatada	verdascada
chibatar	vapular
chibatear	vergalhar
chicanista	rabulejador
chicle	chiclete
chicotada	ripada
chicotar	surrar
chicote	relho
chicotear	lambar
chilique	fricote
chilrar	pipilar
chilreador	chilreiro
chilreante	golelheiro
chilrear	estribilhar
chilreiro	dizedor
chilro	trinado
chimarra	samarra
chispar	indignar-se
chistoso	gracioso
chocalheiro	intrigante
chocar-se	embater-se
chocarrear	rir
chocho	pacóvio
choco	dissaboroso
chofer	motorista
choque	encontroada
choradeira	gemido
chorado	pranteado
choramigador	choramingador
choramigueiro	choramingueiro
choramingo	lacrimejamento
choraminguento	chorão
chorar	ulular
choroso	sentido
chorrar	golfar
chorrilho	montão
chorro	jorro
chorumela	frioleira
choça	mocambo
chuchar	sorver
chulice	grosseria
chumbar	ligar
chupa-sangue	parasito
chupar	libar
churdo	ludroso
chutar	enjeitar
chuvarada	cordoada
chã	planície
chão	manso
cicatrizar	sarar
ciciar	cochichar
cicioso	sussurrejante
cientificar	comunicar
cientificar-se	noticiar-se
cifra	enigma
cifrar	epitomar
cilada	esparrela
cilindroforme	cilindróide
cilindróide	teretiforme
cimentar-se	firmar-se
cimo	cocoruto
cimélio	raridade
cimério	lutuoso
cinca	cincada
cincada	erro
cindir	desentrosar
cineral	cinzeiro
cineração	incineração
cinerício	cinza
cingir	coagir
cingir-se	limitar-se
cinocefálico	cinocéfalo
cinta	precinto
cintilante	fulguroso
cintilar	fulgurar
cinza	rescaldo
cinzado	cinzento
cinzelar	gravar
cinéreo	cinzado
cirandinha	roda
circo	círculo
circotelúrico	circoterrestre
circuitar	envolver
circuito	periferia
circular	mexer-se
circulação	giração
circundamento	rodeamento
circundar	perlongar
circunferência	contorno
circunsoante	circunsonante
circunspecção	tino
circunspetamente	gravemente
circunspeto	recatado
circunspeção	prudência
circunstanciar	pormenorizar
cirro	estertor
ciscalhagem	cisqueiro
cisma	imaginação
cismado	difidente
cismar	suspeitar
cismarento	penseroso
cismativo	imaginativo
cismático	cogitabundo
cisão	corte
ciumada	ciumaria
ciumento	zeloso
ciumoso	invejoso
civilidade	trato
clamador	gritador
clamar	requisitar
clamor	vindicação
clandestinidade	ilegitimidade
clangor	ribombo
claramente	obviamente
clarear	diminuir
clareação	dilucidamento
clarificar	emundar
claro	morto
clarão	fulgor
classificar	pôr
claudicante	trêmulo
clausurar	entaipar
clava	toco
clemência	indulgência
climatério	climático
clitorídeo	clitoridiano
clérigo	eclesiástico
clínico	terapeuta
coacervado	encastelado
coacto	invito
coador	filtro
coadunar	convir
coadunar-se	congregar-se
coagido	invito
coagir	reduzir
coalescer	juntar
coalhado	repleto
coalhar	solidar
coalizar-se	consorciar-se
coalizão	coligação
coar	destilar
coarctador	coartador
coarctação	estreitamento
coarcto	coarto
coatar	reprimir
coato	contrafeito
coação	pressão
cobardia	covardia
coberta	ensombro
cobertura	tapação
cobiçado	desejado
cobiçoso	sequioso
cobrador	recebedor
cobrar	refocilar
cobrimento	tapadura
cobrir	satisfazer
cobrir-se	turvejar-se
coceira	uredo
cochicho	rumor
codificar	coligir
codilhar	embaçar
codizar	criptografar
coerção	pressão
coerência	nexo
cogitabundo	cogitativo
cogitar	ponderar
cognado	cognato
cognominador	denominador
coibir	frear
coibir-se	mesurar-se
coincidir	haver
coirela	courela
coiro	couro
colaborar	entrar
colaboração	conspiração
colar	emendar
coleante	serpenteante
colecionar	reunir
coleta	colhimento
coletor	receptor
coleção	compilação
colheita	safra
colher	lograr
colidente	desencontrado
colidir	percutir
coligado	confederado
coligar-se	ligar-se
coligidor	compilador
coligir	extrair
colimar	mirar
colina	morro
colisão	dissidência
colocar	propor
colocar-se	pôr-se
colocação	ordenamento
coloidal	colóide
colorante	corante
colorar	envolver
colorar-se	rosar-se
colorear	sazonar
colorir	encangotar
colorir-se	rubescer-se
colorizar	decorar
colossalidade	enormidade
colubrejar	serpear
columbino	virgem
coluna	pilar
colérico	sanhudo
colônia	protetorado
comandar	conduzir
comando	rédea
combalido	dessangrado
combalir	estremecer
combate	torneio
combatente	militar
combater	punir
combinado	determinado
combinar	consonar
combinar-se	concertar-se
comburir	incinerar
combustar	inflamar
combustão	ignificação
comedimento	compostura
comedir	sopitar
comemorar	revisitar
comemoração	festejo
comensurar	igualar
comentação	comentário
comer	nutrir-se
comer-se	dilacerar-se
comercialização	extração
cometer	interprender
comezinho	humilde
começado	iniciado
começo	limiar
comida	repasto
comido	nutrido
cominuir	moer
comiserar-se	condoer-se
comissionar	recomendar
comodidade	confortabilidade
comovente	enternecedor
comover	desencruar
comover-se	desarmar-se
compactar	compendiar
compacto	maciço
compadecer	suportar
compadecer-se	condoer-se
compadresco	compadrio
compaixão	misericórdia
companhia	cortejo
comparar	opor
comparação	confronto
comparecimento	presença
comparte	sócio
comparável	parecente
compassar	ritmar
compassividade	condolência
compatibilidade	equivalência
compatibilizar	reunir
compelir	obrigar
compendioso	resumido
compensar	pagar
comperto	descoberto
competente	gabaritado
competidor	contendor
competitividade	rivalidade
competição	concurso
competência	distrito
compilar	reunir
complementar	trancar
completar	fazer
completo	ultimado
complexidade	pluralidade
complexo	implexo
complicado	enredado
complicar	enlear
complicar-se	embretar-se
complicação	embaraço
complô	trama
componente	ingrediente
compor	unir
comportar	permitir
comportável	conciliável
comprazer	releixar
comprazer-se	regozijar-se
compreender-se	perceber-se
compreendido	percebido
compreensão	depreensão
comprido	longo
comprimir	retrair
comprimir-se	contorcer-se
comprobação	confirmação
comprometer	compromissar
comprometimento	prometimento
compromissar	meter
compromisso	obrigação
compulsão	empurração
compungido	pesaroso
compungir	entristecer
compungir-se	enternecer-se
comum	corriqueiro
comumente	vulgarmente
comunhão	união
comunicabilidade	comunicatividade
comunicar-se	contatar
comunicativo	expansivo
comunicação	diálogo
comunidade	irmandade
comuníssimo	vulgaríssimo
comutar	escambar
comutação	volta
conato	insito
conatural	nato
concatenado	engranzado
conceber	meditar
conceder	votar
conceitar	tachar
conceito	opinião
conceituação	definição
concentrar-se	conglomerar-se
conceptível	perceptível
concepção	formulação
concernente	respeitante
concernir	convir
concernência	pertinência
concertar	consonar
concertar-se	dar-se
conchavar-se	mancomunar-se
conchavo	mancomunagem
conchegar-se	unir-se
conciliar	enlaçar
conciliar-se	engraçar-se
conciliação	reconciliação
conciliábulo	conspirata
concionar	discursar
conciso	condensado
concitar	reprurir
concitação	incitamento
concludente	terminativo
concluir	deduzir
conclusivo	dedutivo
conclusão	conseqüência
concluído	encerrado
concordar	tratar
concorrente	oponente
concretizar	efeituar
concreto	definido
conculcado	humilhado
conculcar	depreciar
concupiscência	sensualismo
concurso	cooperação
concutir	encasquetar
concórdia	confraternização
concúbito	cópula
condecoração	honraria
condenar	desadorar
condenação	sentença
condensante	condensativo
condescender	transigir
condessar	meter
condimentação	tempero
condizer	harmonizar
condição	condicional
condoreiro	rebuscado
conduzir	vibrar
conectivo	copulativo
confabular	falar
confecção	preparo
confeitaria	doceria
conferir	reverificar
conferência	conversação
confessar	revelar
confessar-se	reconhecer-se
confessor	cura
confiabilidade	fiabilidade
confiado	desenvergonhado
confiar	encargar
confim	fronteiro
confinante	contérmino
confinar	determinar
confirmador	confirmativo
confirmar	verificar
confirmativo	corroborativo
confissão	desabafo
conflagrar	eletrizar
conflagração	revolta
conflito	embate
conformar	harmonizar
confortador	confortante
confortar	fortificar
confranger	morder
confrangido	torturado
confraternar	fraternizar
confrontar	encontrar
confrontar-se	encarar-se
confrontação	contraposição
confundir-se	intermisturar-se
confuso	esfíngico
confusão	tumulto
confutar	impugnar
confutação	objeção
congelamento	resfriamento
congelar	regelar
congeminar	redobrar
congeneridade	semelhança
congestionar	entupir
conglobar	reunir
conglobar-se	congregar-se
conglobação	conglomeração
conglomerar-se	somar-se
conglutinar	congregar
conglutinoso	pegajento
congraçar-se	harmonizar-se
congregar	ligar
congênere	parecido
congênito	nativo
conhecedor	sábio
conhecer	reconhecer
conhecimento	escola
conjectural	hipotético
conjecturar	surpresar
conjeturar	esmar
conjugação	junção
conjurar	impetrar
conjurar-se	rebelar-se
conquistar	tomar
consagrar	sacramentar
consagrar-se	dedicar-se
consecutivamente	sucessivamente
conseguir	ter
conselho	recado
consentir	sofrer
conseqüência	fruto
consertado	reformado
consertar	medir
conserto	refazimento
conservar-se	vir
conservativo	conservatório
conservação	salvaguarda
considerar	encarar
considerar-se	pretender-se
consideração	deferência
considerável	notável
consignar	firmar
consistente	pastoso
consistir	repousar
consociar	reconciliar
consociar-se	reunir-se
consolador	solaz
consolação	consolo
consolidar	estipular
consolidar-se	louvar-se
consolidação	corporificação
consonante	cônsono
consorciar-se	desposar
consorciação	consórcio
conspicuidade	notabilidade
conspirar	lambancear
conspiração	conspirata
conspurcar	manchar
conspurcação	estrago
constante	freqüente
consternado	desolado
consternar-se	horrorizar-se
consternação	pesadume
constituir	deixar
constranger	oprimir
construir	criar
construção	edifício
constância	insistência
consulta	pesquisa
consumar	efetivar
consumação	realização
consumido	consunto
consumir	dissipar
consumir-se	ir
consumo	sumpto
consunto	gasto
consócio	parceiro
conta-giros	taquímetro
contactar	tocar-se
contaminar	infeccionar
contaminar-se	infeccionar-se
contaminação	estrago
contar	dizer
contatar	tocar-se
contato	convívio
contemplar	refletir
contemplar-se	ver-se
contemporizar	repoisar
contemptível	ignominioso
contenda	renhimento
contendedor	emulador
contendente	inimigo
contender	triscar
contentar	repousar
contenção	encerramento
conter	reportar
conter-se	subjugar-se
contestabilidade	repreensibilidade
contestar	contrariar
contestação	negação
contexto	tese
contextura	traça
contido	sofreado
continente	parcimonioso
contingente	transitório
continuado	ininterrupto
continuar	esticar
continuação	decurso
conto	dito
contorcer	quebrar
contornar	quebrar
contorno	volta
contorção	torço
contra-arrazoado	réplica
contra-arrestar	empacar
contra-atacar	responder
contrabando	muamba
contractível	contrátil
contraditado	desdito
contraditar	opugnar
contradito	desmentido
contraditório	paradoxal
contrafazer	sobnegar
contrafazer-se	sofisticar-se
contrafeito	violentado
contrair	murchar
contrapeso	sobrepeso
contrapontear	repostar
contrapor	voltar
contrariar	desgostar
contrariedade	oposição
contrariável	controvertível
contrastar	opor
contrastear	esmar
contratante	empregador
contratar	firmar
contrato	tratado
contraverter	soçobrar
contravir	desobedecer
contraído	franzido
contribuição	encargo
contristado	pesaroso
contristação	melancolia
controverter	questionar
controvertível	disputável
contrário	desavindo
contumaz	persistente
contumelioso	ofensivo
contumélia	insulto
contundido	pisado
conturbado	revoltado
conturbar	desacomodar
contusão	lesão
contérrito	surpreso
contíguo	propínquo
contínuo	freqüente
conubial	marital
convalescença	restauração
convalescer	reverdecer
convencedor	suasório
convencer	encasquetar
convencionar	estabelecer
conveniente	pertinente
convergência	influxo
conversão	transmudação
converter	transubstanciar
converter-se	imutar-se
convidativo	tentador
convincente	eloqüente
convir	dar-se
convivência	convívio
convizinho	parecido
convulsionar	rebelar
copado	frondente
copiar	tirar
copiosidade	excessividade
copioso	opulento
copo	taça
coragem	valor
corajudo	foito
corar	erubescer
corar-se	encafifar-se
corcovar-se	envergar-se
corcovo	pinote
cordagem	cordoalha
cordato	sensato
cordial	fagueiro
cordoada	salseirada
cordão	série
coriscar	relampear
cornadura	haste
coroar	eleger
corográfico	ctonográfico
corporalizar	materializar
corporatura	vulto
corporificar-se	incorporar-se
corpulento	obeso
corpulência	espessura
corredio	macio
correia	loro
corrente	veia
correntio	costumeiro
correr	enxotar
correr-se	pejar-se
corresponder	satisfazer
correto	probo
corretor	intercessor
corretora	terceira
correção	pena
corrido	excluído
corrigenda	pregação
corrigir	ordenar
corrimaca	porção
corrimento	escoamento
corroborar	demonstrar
corroer	erosar
corromper	malignar
corromper-se	putrefazer-se
corrompido	corruptivo
corrompimento	podriqueira
corrosão	desgaste
corroído	desgastado
corrugado	engelhado
corrugar	encoscorar
corrugar-se	encorrilhar-se
corrupiar	rodopiar
corruptibilidade	impiedade
corruptivo	corrupto
corrupto	ruim
