abnegar	renunciar
abnegação	desambição
abneto	trineto
abnoitar	dormir
abnormal	anômalo
abnormalidade	anormalidade
abnorme	anômalo
abnormidade	anormalidade
abnuir	recusar
abnuência	divergência
abnóxio	inofensivo
abobadado	recurvado
abobadar	arquear
abobado	abobarrado
abobalhado	apatetado
abobalhar	aparvalhar
abobalhar-se	apatetar-se
abobar	idiotar
abobar-se	aparvalhar-se
abobarrado	tarouco
abocador	abocanhador
abocadura	seteira
abocamento	encontro
abocanhamento	difamação
abocanhar	ingurgitar
abocar	dirigir
abochornador	bochornal
abodegado	espurco
abodegar	enquizilar
abodegar-se	sujar-se
abodegação	aborrecimento
abofetear	estapear
aboiado	aboio
aboiar	bubuiar
aboiz	empulhação
abolachar	apalmar
abolachar-se	espalmar-se
abolado	amolgado
abolar	bolear
aboleimado	alvar
aboleimar	apalmar
aboleimar-se	achatar-se
aboletado	hospedado
aboletamento	alojamento
aboletar	agasalhar
aboletar-se	agasalhar-se
abolido	anulado
abolir	esfazer
abolitivo	abolitório
abolição	revogação
abolorecer	mofar
abolorecido	mofado
abolorecimento	mofo
abolorentar	mofar
abolsar	crescer
abolsar-se	estufar-se
abolçar	rejeitar
abominado	desadorado
abominar	maldiçoar
abominar-se	aborrecer-se
abominação	desadoração
abominoso	aborrecido
abominável	aborrecido
abonado	ourudo
abonador	fiador
abonamento	abono
abonançar	apacificar
abonançar-se	sossegar-se
abonar	oferecer
abonar-se	gabar-se
abonativo	abonável
abonatário	fiador
abonatório	abonável
abonação	louvor
abonecado	embonecado
abonecar-se	ajaezar-se
abono	acréscimo
aboquejar	caluniar
aborcar	esvazar
abordada	abordagem
abordagem	perspetiva
abordar	versar
abordo	entrada
aboriginal	crioulo
aborrecedor	ominoso
aborrecer	amaldiçoar
aborrecer-se	enjoar-se
aborrecido	maçador
aborrecimento	chateação
aborrecível	ominoso
aborrido	maçante
aborrível	ominoso
aborsivo	abortivo
abortado	apagado
abortamento	aborto
abortar	malparir
abortivo	baldado
aborto	anomalia
abortífero	abortivo
aborígine	indígena
abotoadeira	abotoador
abotoado	arregalado
abotoadura	abotoamento
abotoamento	abrochadura
abotoar	surgir
abotocado	arvoado
abra	anco
abracadabrante	mágico
abracadábrico	misterioso
abracável	abrangível
abradante	abrasivo
abrancar	caiar
abrancaçado	entrebranco
abrandado	dulcificado
abrandamento	acalmação
abrandar	desempedernecer
abrandar-se	amortecer-se
abrangedor	abrangente
abranger	possuir
abranger-se	incluir-se
abrangido	compreendido
abrangência	encerramento
abrangível	completível
abraquiano	abráquico
abrasado	incandescido
abrasador	tropical
abrasamento	adustão
abrasar	dissipar
abrasar-se	eletrizar-se
abraseado	incandescido
abrasear	enrubescer
abrasão	esfola
abrazô	ambrazô
abraçadeira	embraçadura
abraçado	enlaçado
abraçador	abraçante
abraçamento	amplexo
abraçar	juntar
abraçar-se	apertar-se
abraço	ligação
abre-ilhoses	saca-bocado
abre-ilhós	saca-bocado
abrejar	exuberar
abrejeirado	frescalhão
abrenhar	embalçar
abrenhar-se	atufar-se
abrenunciação	renúncia
abrenúncio	praga
abrevar	beberar
abreviadamente	laconicamente
abreviado	encondensado
abreviar	precipitar
abreviativo	simplificador
abreviatura	miniatura
abreviação	encurtamento
abreviável	reduzível
abricoque	albricoque
abridela	arreganho
abrigada	proteção
abrigado	amparado
abrigadoiro	acolhida
abrigadouro	proteção
abrigar	garantir
abrigar-se	cobrir-se
abrigo	agasalho
abril	juvenilidade
abrilhantado	adereçado
abrilhantar	avivar
abrimento	arreganho
abrir	elucidar
abrir-se	dilacerar-se
abrocadado	abrocado
abrolhado	brotado
abrolhar	grelar
abrolho	percalço
abrolhos	penedos
abronzeado	bronzedo
abrumador	desconsolador
abruptela	arrotéia
abrupto	ladeirento
abrutado	abrutalhado
abrutalhado	rude
abrutalhar	bestializar
abrutalhar-se	barbarizar-se
abrutamento	rudeza
abrutar	ajavardar
abrutar-se	asselvajar-se
abráquico	anóleno
abráquio	anóleno
absceder	supurar
abscesso	intumescência
abscidar-se	desafeiçoar-se
abscindido	estropiado
abscisão	amputação
absconder	encafuar
absconder-se	ocultar-se
absconsa	abscônsia
absconso	esconso
abscôndito	oculto
absenteísmo	abstencionismo
absenteísta	abstencionista
absentismo	abstencionismo
absidado	alcatruzado
absimilhante	dissemelhante
absolto	absolvido
absolutamente	despoticamente
absolutismo	autoritarismo
absoluto	tirano
absolutório	absolvedor
absolvedor	absolvente
absolver	escusar
absolver-se	isentar-se
absolvição	indulgência
absonar	desatremar
absorbente	aspirante
absorciso	absortivo
absorcividade	absortividade
absortividade	permeabilidade
absortivo	absorvível
absorto	alheio
absorvedoiro	tragadouro
absorvedor	aspirante
absorvedouro	poço
absorvente	aspirante
absorver	gastar
absorver-se	empregar-se
absorvido	aspirado
absorvência	sorvedura
absorção	êxtase
abstemia	frugalidade
abstento	excomungado
abstenção	neutralidade
abster-se	coibir-se
abstergente	apurativo
absterger-se	depurar-se
abstergido	limpo
abstergência	purificação
absterso	purificado
abstersão	lavagem
abstido	represo
abstinente	sóbrio
abstinência	jejum
abstraente	abstraidor
abstraidor	teórico
abstrair	afastar
abstrair-se	separar-se
abstrato	alheio
abstração	alheamento
abstraído	abstrato
abstruso	esconso
abstrusão	confusão
abstêmico	abstêmio
abstêmio	sóbrio
absumir	maquiar
absurdamente	insensatamente
absurdez	absurdidade
absurdeza	absurdo
absurdidade	ilogia
absurdo	incoerente
absíntio	absinto
abugalhar	esgazear
abugalhar-se	arregalar-se
abuna	missionário
abundante	farto
abundantemente	muito
abundar	sobreabundar
abundoso	produtivo
abundância	provimento
aburacado	esburaquento
aburacar	broquear
abusado	intruso
abusar	exorbitar
abusivo	exorbitante
abuso	contravenção
abusão	engano
abutre	onzenário
abuzinado	afunilado
abuzinar	buzinar
abáculo	alguergue
abóbada	cúpula
abóbora	jerimum
aca	raposinho
acabado	encerrado
acabadote	avelhado
acabamento	destruição
acabar	executar
acabar-se	diminuir-se
acaboclado	amatutado
acaboclar-se	acaiçarar-se
acabrunhado	aniquilado
acabrunhador	atormentador
acabrunhamento	vexame
acabrunhante	atormentador
acabrunhar	ansiar
acabrunhar-se	atormentar-se
acaburro	zaburro
acachapado	alapardado
acachapador	ocultador
acachapamento	encolhedela
acachapante	irrecusável
acachapar	subterrar
acachapar-se	amoutar-se
acachar	amoutar
acachar-se	agachar-se
acachoar	borbulhar
acaciano	acácio
academia	ateneu
academial	acadêmico
academiar	academicizar
academicismo	academismo
academicista	acadêmico
acadêmico	teórico
acafajestado	acanalhado
acafajestamento	acanalhamento
acafelado	encoberto
acafeladura	reboque
acafelamento	reboco
acafelar	mentir
acaipirado	amatutado
acaipirar-se	amatutar-se
acairelado	debruado
acairelador	agaloador
acairelar	cairelar
acaiçarado	alarve
acaiçarar-se	acaipirar-se
acajibado	acajipado
acalantado	balouçado
acalantar	mimar
acalanto	acalentamento
acalcamento	calca
acalcanhado	calcado
acalentado	aninado
acalentador	embalador
acalentamento	carinho
acalentar	bafejar
acalentar-se	desencalmar-se
acalento	alívio
acalmado	aplacado
acalmador	tranqüilizador
acalmamento	mitigação
acalmar	retundir
acalmar-se	placar
acalmação	acalmamento
acalmia	estiagem
acaloradamente	exaltadamente
acalorado	esfogueado
acalorar	levantar
acalorar-se	entusiasmar-se
acamado	assentado
acamamento	acanaveadura
acamar	deitar
acamar-se	enfermar-se
acamaradar	amigar
acambetado	zambro
acambetar	coxear
acampado	acantonado
acampamento	rancho
acampanar	espevitar
acampar	enrinconar
acamurçado	camurçado
acanalado	ranhurado
acanalar	ranhurar
acanalhado	amolecado
acanalhador	rebaixador
acanalhamento	envilecimento
acanalhar	aviltar
acanalhar-se	desonrar-se
acanaveadura	cruciação
acanavear	dilacerar
acanavear-se	emagrecer-se
acanelado	canelado
acanelar	estriar
acanforado	canforado
acanhado	covarde
acanhamento	aperto
acanhar	avergonhar
acanhar-se	embaraçar-se
acanho	pejo
acanteirado	encanteirado
acantoado	isolado
acantoamento	rejeição
acantoar	isolar
acantoar-se	arrinconar-se
acantológico	mordaz
acantonado	alojado
acantonamento	bivaque
acapachado	humilhado
acapelado	enfurecido
acapelar	fundir
acaramelado	encaramelado
acaramelar	encaramelar
acarangado	encolhido
acarapinhar	encarapinhar
acarar	afrontar
acarar-se	olhar-se
acardumar	encardumar
acareado	afrontado
acareador	acareante
acareante	careador
acarear	carear
acareação	comparação
acariciado	ameigado
acariciador	amimador
acariciante	fagueiro
acariciar	mimosear
acariciativo	amimador
acaridar-se	apiadar-se
acarinhado	mimado
acarinhamento	quindim
acarinhar	mimar
acarioto	anucleado
acarminado	nacarino
acarminar	envermelhecer
acaroar	entestar
acarpetado	carpetado
acarpetar	entapizar
acarradoiro	acarradouro
acarrancado	cenhoso
acarrar	resfolegar
acarrear	suscitar
acarretadura	carreação
acarretamento	transporte
acarretar	produzir
acarreto	plagiato
acará	acarajé
acasacado	encasacado
acasalar	emparelhar
acasalar-se	concubinar-se
acasmurrado	porfiado
acaso	quinhão
acasquilhado	alfenado
acastanhado	amarronzado
acastelado	coacervado
acastelamento	encastelamento
acastelar	acumular
acastelar-se	acumular-se
acastoado	encastoado
acatado	respeitado
acatadura	aspecto
acatamento	obediência
acatar	aceitar
acatarrado	encatarroado
acatarroado	encatarroado
acatassolado	cambiante
acatingado	catingoso
acatitado	aperaltado
acato	obediência
acaudalado	caudaloso
acausto	asbestino
acautelado	velhaco
acautelamento	estudo
acautelar	munir
acautelar-se	resguardar-se
acautelatório	preventivo
acavalado	encavalado
acavalamento	sobreposição
acavalar	superpor
acavalar-se	superpor-se
acavaleirado	cavaleiro
acaçapado	alapardado
acaçapador	ocultador
acaçapamento	acachapamento
acaçapante	irrecusável
acaçapar	encafuar
acaçapar-se	acovar-se
acaçá	refrigério
aceca	regueira
aceder	acrescentar
acedia	frouxidão
acedioso	acidioso
acedência	assenso
acefalia	acefalismo
aceirar	aguçar
aceiração	aceiramento
aceiro	atalhada
aceitabilidade	aceitamento
aceitador	aceitante
aceitamento	consentimento
aceitar	subscrever
aceitação	aprovação
aceito	aprovado
aceitoso	acolhedor
aceitável	receptível
aceleradamente	embalado
acelerado	rápido
acelerador	acelerante
acelerar	apressar
acelerar-se	aforçurar-se
acelerativo	aceleratório
aceleração	apressamento
acenar	menear
acendalha	acendalho
acendalho	sarandalhas
acendedor	isqueiro
acender	espicaçar
acender-se	vulcanizar-se
acendimento	arrebatamento
acendrado	apurado
acendrar	defecar
acendível	inflamável
aceno	chamamento
acento	tom
acentuado	saliente
acentuamento	alteamento
acentuar	pronunciar
acentuar-se	salientar-se
acentuação	elevação
acepilhado	polido
acepilhadura	maravalha
acepipe	gulosina
acepção	significado
acerado	azeirado
acerador	acerante
aceragem	aceramento
acerar	azerar
aceraria	aceria
aceração	aceragem
acerbamente	amargamente
acerbidade	austeridade
acerbo	amaroso
acercar	unir
acercar-se	aconchegar-se
aceria	aciaria
acerola	azerola
aceroso	aguçado
acerra	naveta
acertadamente	bem
acertado	revisto
acertamento	transação
acertar	consertar
acerto	pensamento
acervo	amontoado
aceso	arremessado
acessibilidade	comunicabilidade
acesso	comunicação
acessão	acrescente
acessível	comunicativo
acessório	detalhe
acetabulado	acetabuliforme
acetificar	azedar
acetificar-se	vinagrar-se
acetinadeira	calandra
acetinado	calandrado
acetinagem	calandragem
acetinação	calandragem
acetosidade	aziúme
acetoso	avinagrado
acha	cava
achacadiço	enfermiço
achacado	corrompido
achacoso	valetudinário
achada	rechã
achadiço	encontradiço
achado	inventado
achadoiro	achadouro
achador	deparador
achamboado	mal-enjorcado
achambonado	achavascado
achamegado	apaixonado
achanar	alhanar
achanar-se	deslisar-se
achaparrado	tarraco
achaque	moléstia
achar	desentesourar
achar-se	encontrar-se
achatadela	achatamento
achatado	esparramado
